# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
  76 2.6878684020e-10 5.4011104551e-14 -1.1715871099e-12 0.0000000000e+00 2.1428048499e-11 2.7154609025e-12 -5.5184265006e-15
  77 2.7251753739e-10 5.5909912362e-14 -1.2425821524e-12 0.0000000000e+00 2.0761999040e-11 2.6439207201e-12 -5.5524974247e-15
  78 2.7626114823e-10 5.7836407738e-14 -1.3142943832e-12 0.0000000000e+00 2.0122664862e-11 2.5734688237e-12 -5.5966507277e-15
  79 2.7996043323e-10 5.9805567195e-14 -1.3852230814e-12 0.0000000000e+00 1.9508776825e-11 2.5041205622e-12 -5.6793984120e-15
  80 2.8357063525e-10 6.1826949031e-14 -1.4543318895e-12 0.0000000000e+00 1.8918829796e-11 2.4360309177e-12 -5.8164718788e-15
  81 2.8711846594e-10 6.3882414944e-14 -1.5229965580e-12 0.0000000000e+00 1.8351877208e-11 2.3700305909e-12 -5.9609970469e-15
  82 2.9065305777e-10 6.5944611987e-14 -1.5933889265e-12 0.0000000000e+00 1.7806837891e-11 2.3071809926e-12 -6.0447849765e-15
  83 2.9422735062e-10 6.7991089357e-14 -1.6673418573e-12 0.0000000000e+00 1.7282447635e-11 2.2483115075e-12 -6.0225313889e-15
  84 2.9789448603e-10 7.0028360118e-14 -1.7445623978e-12 0.0000000000e+00 1.6777912161e-11 2.1930481204e-12 -5.9660223712e-15
  85 3.0171107816e-10 7.2071747329e-14 -1.8241301507e-12 0.0000000000e+00 1.6292335424e-11 2.1406243785e-12 -5.9854295493e-15
  86 3.0571208273e-10 7.4134056059e-14 -1.9051793778e-12 0.0000000000e+00 1.5824673874e-11 2.0902426450e-12 -6.1589603034e-15
  87 3.0982687777e-10 7.6212321445e-14 -1.9873731809e-12 0.0000000000e+00 1.5374252820e-11 2.0413075578e-12 -6.3977978085e-15
  88 3.1394975300e-10 7.8298995532e-14 -2.0705013650e-12 0.0000000000e+00 1.4940311960e-11 1.9932241914e-12 -6.5597310849e-15
  89 3.1799164458e-10 8.0387410045e-14 -2.1543660547e-12 0.0000000000e+00 1.4521969864e-11 1.9455099872e-12 -6.5358693285e-15
  90 3.2196523406e-10 8.2476512947e-14 -2.2388731859e-12 0.0000000000e+00 1.4118634846e-11 1.8983813247e-12 -6.3982642292e-15
  91 3.2591271821e-10 8.4566848204e-14 -2.3239546660e-12 0.0000000000e+00 1.3729641490e-11 1.8522551737e-12 -6.2748631487e-15
  92 3.2987186471e-10 8.6658604945e-14 -2.4095634550e-12 0.0000000000e+00 1.3354242944e-11 1.8075156424e-12 -6.2717782662e-15
  93 3.3384950996e-10 8.8749947021e-14 -2.4957456003e-12 0.0000000000e+00 1.2992003639e-11 1.7643337679e-12 -6.3670682239e-15
  94 3.3784421426e-10 9.0838439558e-14 -2.5825792308e-12 0.0000000000e+00 1.2642452786e-11 1.7228211075e-12 -6.5013366473e-15
  95 3.4185427743e-10 9.2921553189e-14 -2.6701531716e-12 0.0000000000e+00 1.2304958017e-11 1.6830839214e-12 -6.6097163819e-15
  96 3.4588304599e-10 9.4996743944e-14 -2.7585230836e-12 0.0000000000e+00 1.1978838461e-11 1.6451893778e-12 -6.6381473790e-15
